Instrument,Option Type,Strike Price,Expiration Date,Last Price (USD),Bid Price (USD),Ask Price (USD),Bid IV,Ask IV,Delta,Gamma,Theta,Vega,open_interest,total traded volume,monetary volume,Probability (%)
BTC-13JUN25-104000-P,put,104000.0,2025-06-13,0.0,0.0,0.0,44.24,45.64,-0.27229,3e-05,-104.34312,78.71481,33.2,7.5,16260.57,45.4
BTC-13JUN25-105000-C,call,105000.0,2025-06-13,0.0,0.0,0.0,44.08,46.72,0.69415,3e-05,-110.20549,83.14097,0.0,0.0,0.0,
BTC-13JUN25-105000-P,put,105000.0,2025-06-13,0.0,0.0,0.0,44.37,45.69,-0.30585,3e-05,-110.20549,83.14097,13.2,11.1,25876.01,
BTC-13JUN25-106000-C,call,106000.0,2025-06-13,0.0,0.0,0.0,44.56,47.08,0.65926,3e-05,-115.19206,86.93517,4.9,0.0,0.0,82.4
BTC-13JUN25-106000-P,put,106000.0,2025-06-13,0.0,0.0,0.0,44.06,45.32,-0.34074,3e-05,-115.19206,86.93517,300.3,0.7,1706.9,45.4
BTC-13JUN25-107000-C,call,107000.0,2025-06-13,0.0,0.0,0.0,44.58,46.41,0.62322,4e-05,-119.30499,90.02681,1.5,0.4,2409.64,
BTC-13JUN25-107000-P,put,107000.0,2025-06-13,0.0,0.0,0.0,44.58,45.8,-0.37678,4e-05,-119.30551,90.02683,343.9,87.8,257319.0,
BTC-13JUN25-108000-C,call,108000.0,2025-06-13,0.0,0.0,0.0,44.79,46.57,0.58613,4e-05,-123.21609,92.36177,9.5,1.2,6317.19,
BTC-13JUN25-108000-P,put,108000.0,2025-06-13,0.0,0.0,0.0,44.66,45.85,-0.41387,4e-05,-123.21609,92.36177,319.6,0.9,2952.96,
BTC-13JUN25-109000-C,call,109000.0,2025-06-13,0.0,0.0,0.0,45.17,46.34,0.54912,4e-05,-125.85659,93.85683,45.8,2.7,13258.48,78.9
BTC-13JUN25-109000-C,call,109000.0,2025-06-13,0.0,0.0,0.0,45.17,46.34,0.54912,4e-05,-125.85659,93.85683,45.8,2.7,13258.48,78.9
BTC-13JUN25-109000-P,put,109000.0,2025-06-13,0.0,0.0,0.0,44.92,46.09,-0.45088,4e-05,-125.85659,93.85683,16.8,5.0,22775.82,
BTC-13JUN25-110000-C,call,110000.0,2025-06-13,0.0,0.0,0.0,45.15,46.31,0.51241,4e-05,-127.41808,94.52896,142.0,58.7,259059.86,
BTC-13JUN25-110000-P,put,110000.0,2025-06-13,0.0,0.0,0.0,44.77,46.51,-0.4876,4e-05,-127.41749,94.52892,27.1,0.9,4251.92,
BTC-13JUN25-111000-C,call,111000.0,2025-06-13,0.0,0.0,0.0,45.31,46.47,0.47622,4e-05,-127.77576,94.40661,227.5,6.6,28348.78,
BTC-13JUN25-111000-P,put,111000.0,2025-06-13,0.0,0.0,0.0,44.81,46.55,-0.52378,4e-05,-127.77576,94.40661,24.8,1.2,5933.31,
BTC-13JUN25-112000-C,call,112000.0,2025-06-13,0.0,0.0,0.0,45.67,46.85,0.44087,4e-05,-127.13549,93.53403,53.0,7.5,26614.4,
BTC-13JUN25-112000-P,put,112000.0,2025-06-13,0.0,0.0,0.0,45.04,46.8,-0.55913,4e-05,-127.13528,93.53388,218.1,0.1,548.16,17.7
BTC-13JUN25-113000-C,call,113000.0,2025-06-13,0.0,0.0,0.0,45.67,46.86,0.40654,4e-05,-125.47993,91.96782,99.4,0.6,1587.96,68.5
BTC-13JUN25-113000-P,put,113000.0,2025-06-13,0.0,0.0,0.0,44.9,47.88,-0.59346,4e-05,-125.47993,91.96782,0.7,0.0,0.0,
BTC-13JUN25-114000-C,call,114000.0,2025-06-13,0.0,0.0,0.0,45.9,47.12,0.37358,3e-05,-123.06731,89.78555,28.8,5.5,17111.35,
BTC-13JUN25-114000-P,put,114000.0,2025-06-13,0.0,0.0,0.0,44.98,48.64,-0.62642,3e-05,-123.06731,89.78555,0.8,0.0,0.0,
BTC-13JUN25-115000-C,call,115000.0,2025-06-13,0.0,0.0,0.0,46.4,47.66,0.34184,3e-05,-119.69701,87.04139,753.1,7.3,20698.01,
BTC-13JUN25-115000-P,put,115000.0,2025-06-13,0.0,0.0,0.0,44.68,48.47,-0.65816,3e-05,-119.69701,87.04139,0.0,0.0,0.0,
BTC-13JUN25-116000-C,call,116000.0,2025-06-13,0.0,0.0,0.0,46.58,47.24,0.31206,3e-05,-115.95744,83.87614,41.7,15.9,36687.07,
BTC-13JUN25-116000-P,put,116000.0,2025-06-13,0.0,0.0,0.0,45.31,48.58,-0.68794,3e-05,-115.95744,83.87614,0.0,0.0,0.0,13.4
BTC-13JUN25-117000-C,call,117000.0,2025-06-13,0.0,0.0,0.0,46.42,47.79,0.28378,3e-05,-111.51149,80.31865,46.6,24.6,51166.69,
BTC-13JUN25-117000-P,put,117000.0,2025-06-13,0.0,0.0,0.0,44.93,49.04,-0.71622,3e-05,-111.51149,80.31865,0.0,0.0,0.0,
BTC-13JUN25-118000-C,call,118000.0,2025-06-13,0.0,0.0,0.0,46.61,48.04,0.25722,3e-05,-106.60977,76.4692,35.1,9.1,15675.81,
BTC-13JUN25-118000-P,put,118000.0,2025-06-13,0.0,0.0,0.0,43.39,54.05,-0.74278,3e-05,-106.60977,76.4692,0.1,0.1,990.74,13.7
BTC-13JUN25-119000-C,call,119000.0,2025-06-13,0.0,0.0,0.0,47.23,48.74,0.23324,3e-05,-101.88611,72.548,262.2,5.7,9601.81,31.4
BTC-13JUN25-119000-P,put,119000.0,2025-06-13,0.0,0.0,0.0,43.65,54.84,-0.76676,3e-05,-101.88611,72.548,0.0,0.0,0.0,
BTC-13JUN25-120000-C,call,120000.0,2025-06-13,0.0,0.0,0.0,47.59,48.4,0.21026,3e-05,-96.4252,68.37293,352.8,94.4,140778.8,
BTC-13JUN25-120000-P,put,120000.0,2025-06-13,0.0,0.0,0.0,43.7,54.77,-0.78955,3e-05,-96.4827,68.41377,0.0,0.0,0.0,
BTC-13JUN25-121000-C,call,121000.0,2025-06-13,0.0,0.0,0.0,47.65,49.35,0.18961,2e-05,-91.13349,64.25438,33.0,25.9,33558.48,
BTC-13JUN25-121000-P,put,121000.0,2025-06-13,0.0,0.0,0.0,44.2,55.09,-0.81039,2e-05,-91.13349,64.25438,0.0,0.0,0.0,13.4
BTC-13JUN25-122000-C,call,122000.0,2025-06-13,0.0,0.0,0.0,47.41,49.24,0.17057,2e-05,-85.78986,60.12275,14.9,4.5,5105.49,19.0
BTC-13JUN25-122000-P,put,122000.0,2025-06-13,0.0,0.0,0.0,43.46,57.6,-0.82937,2e-05,-85.81067,60.1375,0.0,0.0,0.0,
BTC-13JUN25-124000-C,call,124000.0,2025-06-13,0.0,0.0,0.0,47.97,49.04,0.13682,2e-05,-74.91852,51.94413,25.7,10.1,8970.96,
BTC-13JUN25-124000-P,put,124000.0,2025-06-13,0.0,0.0,0.0,42.61,56.3,-0.86304,2e-05,-74.9764,51.98427,0.0,0.0,0.0,13.4
BTC-13JUN25-125000-C,call,125000.0,2025-06-13,0.0,0.0,0.0,47.8,50.11,0.12168,2e-05,-69.25157,47.89213,61.0,18.6,12657.75,
BTC-13JUN25-125000-P,put,125000.0,2025-06-13,0.0,0.0,0.0,41.53,60.32,-0.87827,2e-05,-69.27199,47.90626,0.0,0.0,0.0,
BTC-13JUN25-130000-C,call,130000.0,2025-06-13,0.0,0.0,0.0,50.11,50.82,0.06905,1e-05,-47.05907,31.49775,50.2,1.8,681.86,14.3
BTC-13JUN25-130000-P,put,130000.0,2025-06-13,0.0,0.0,0.0,38.01,66.4,-0.93091,1e-05,-47.08154,31.51279,0.0,0.0,0.0,
BTC-13JUN25-135000-C,call,135000.0,2025-06-13,0.0,0.0,0.0,51.97,53.59,0.03988,1e-05,-31.66531,20.3805,36.3,1.2,231.51,
BTC-13JUN25-135000-P,put,135000.0,2025-06-13,0.0,0.0,0.0,0.8,72.63,-0.96011,1e-05,-31.6696,20.38326,0.0,0.0,0.0,13.1
BTC-13JUN25-140000-C,call,140000.0,2025-06-13,0.0,0.0,0.0,53.16,56.53,0.02356,0.0,-21.31873,13.18471,57.1,12.5,1920.77,
BTC-13JUN25-140000-P,put,140000.0,2025-06-13,0.0,0.0,0.0,0.8,75.75,-0.97643,0.0,-21.32162,13.18658,0.0,0.0,0.0,
BTC-13JUN25-145000-C,call,145000.0,2025-06-13,0.0,0.0,0.0,54.31,59.52,0.01417,0.0,-14.34861,8.54916,17.8,1.0,109.77,
BTC-13JUN25-145000-P,put,145000.0,2025-06-13,0.0,0.0,0.0,0.8,166.5,-0.98583,0.0,-14.34861,8.54916,0.0,0.0,0.0,
BTC-13JUN25-150000-C,call,150000.0,2025-06-13,0.0,0.0,0.0,57.96,61.64,0.01026,0.0,-11.51889,6.46397,56.6,0.0,0.0,
BTC-13JUN25-150000-P,put,150000.0,2025-06-13,0.0,0.0,0.0,0.8,178.97,-0.98974,0.0,-11.51889,6.46397,0.0,0.0,0.0,
BTC-13JUN25-155000-C,call,155000.0,2025-06-13,0.0,0.0,0.0,60.49,67.14,0.00761,0.0,-9.34958,4.97441,194.4,16.7,728.39,
BTC-13JUN25-155000-P,put,155000.0,2025-06-13,0.0,0.0,0.0,0.8,190.18,-0.99239,0.0,-9.34958,4.97441,0.0,0.0,0.0,
BTC-27JUN25-20000-C,call,20000.0,2025-06-27,0.0,0.0,0.0,0.8,254.61,1.0,0.0,-0.01459,0.00656,74.7,0.0,0.0,84.0
BTC-27JUN25-20000-P,put,20000.0,2025-06-27,0.0,0.0,0.0,0.8,197.0,0.0,0.0,-0.01459,0.00656,300.4,0.0,0.0,
BTC-27JUN25-30000-C,call,30000.0,2025-06-27,0.0,0.0,0.0,0.8,190.25,0.99987,0.0,-0.33029,0.15936,46.3,0.0,0.0,
BTC-27JUN25-30000-P,put,30000.0,2025-06-27,0.0,0.0,0.0,0.8,160.95,-0.00013,0.0,-0.33029,0.15936,623.5,0.0,0.0,
BTC-27JUN25-40000-C,call,40000.0,2025-06-27,0.0,0.0,0.0,0.8,155.76,0.99887,0.0,-2.35912,1.21168,81.9,0.7,48669.0,84.0
BTC-27JUN25-40000-C,call,40000.0,2025-06-27,0.0,0.0,0.0,0.8,155.76,0.99887,0.0,-2.35912,1.21168,81.9,0.7,48669.0,84.0
BTC-27JUN25-40000-C,call,40000.0,2025-06-27,0.0,0.0,0.0,0.8,155.76,0.99887,0.0,-2.35912,1.21168,81.9,0.7,48669.0,84.0
BTC-27JUN25-40000-P,put,40000.0,2025-06-27,0.0,0.0,0.0,0.8,131.93,-0.00113,0.0,-2.35912,1.21168,466.0,0.6,13.1,
BTC-27JUN25-45000-C,call,45000.0,2025-06-27,0.0,0.0,0.0,0.8,137.14,0.99835,0.0,-3.04853,1.71014,41.2,0.0,0.0,
BTC-27JUN25-45000-P,put,45000.0,2025-06-27,0.0,0.0,0.0,0.8,117.35,-0.00165,0.0,-3.04853,1.71014,1126.0,2.5,49.18,
BTC-27JUN25-50000-C,call,50000.0,2025-06-27,0.0,0.0,0.0,0.8,127.59,0.99779,0.0,-3.61079,2.232,56.8,0.0,0.0,
BTC-27JUN25-50000-P,put,50000.0,2025-06-27,0.0,0.0,0.0,93.53,107.7,-0.00221,0.0,-3.61079,2.232,1076.3,1.3,42.53,
BTC-27JUN25-55000-C,call,55000.0,2025-06-27,0.0,0.0,0.0,0.8,112.34,0.99745,0.0,-3.64132,2.53282,39.6,0.0,0.0,
BTC-27JUN25-55000-P,put,55000.0,2025-06-27,0.0,0.0,0.0,82.84,95.55,-0.00255,0.0,-3.64132,2.53282,1643.9,0.0,0.0,
BTC-27JUN25-60000-C,call,60000.0,2025-06-27,0.0,0.0,0.0,0.8,98.46,0.99599,0.0,-5.06092,3.8135,488.5,0.1,4956.84,84.0
BTC-27JUN25-60000-P,put,60000.0,2025-06-27,0.0,0.0,0.0,78.23,84.44,-0.00401,0.0,-5.06092,3.8135,1204.4,8.9,391.11,
BTC-27JUN25-65000-C,call,65000.0,2025-06-27,0.0,0.0,0.0,0.8,90.37,0.99454,0.0,-6.00544,5.01876,121.1,0.0,0.0,
BTC-27JUN25-65000-P,put,65000.0,2025-06-27,0.0,0.0,0.0,71.75,76.21,-0.00546,0.0,-6.00482,5.01831,2644.0,6.9,324.77,21.6
BTC-27JUN25-70000-C,call,70000.0,2025-06-27,0.0,0.0,0.0,0.8,78.31,0.99213,0.0,-7.49917,6.93318,537.2,0.0,0.0,
BTC-27JUN25-70000-P,put,70000.0,2025-06-27,0.0,0.0,0.0,66.43,69.41,-0.00787,0.0,-7.49923,6.93323,2574.4,102.6,7432.55,
BTC-27JUN25-75000-C,call,75000.0,2025-06-27,0.0,0.0,0.0,0.8,70.37,0.98751,0.0,-10.2459,10.37926,570.5,0.2,7021.62,
BTC-27JUN25-75000-P,put,75000.0,2025-06-27,0.0,0.0,0.0,59.88,61.01,-0.01249,0.0,-10.2459,10.37926,2106.7,46.6,4905.47,
BTC-27JUN25-78000-C,call,78000.0,2025-06-27,0.0,0.0,0.0,0.8,65.45,0.98401,0.0,-11.88817,12.84184,0.0,0.0,0.0,
BTC-27JUN25-78000-P,put,78000.0,2025-06-27,0.0,0.0,0.0,57.32,58.95,-0.01599,0.0,-11.88817,12.84184,301.6,2.5,306.66,
BTC-27JUN25-80000-C,call,80000.0,2025-06-27,0.0,0.0,0.0,0.8,62.13,0.97966,0.0,-14.18608,15.77028,664.1,0.0,0.0,
BTC-27JUN25-80000-P,put,80000.0,2025-06-27,0.0,0.0,0.0,55.17,56.56,-0.02034,0.0,-14.18608,15.77028,3873.4,49.2,8135.65,
BTC-27JUN25-82000-C,call,82000.0,2025-06-27,0.0,0.0,0.0,35.53,58.78,0.97582,0.0,-15.6971,18.24689,0.0,0.0,0.0,84.0
BTC-27JUN25-82000-C,call,82000.0,2025-06-27,0.0,0.0,0.0,35.53,58.78,0.97582,0.0,-15.6971,18.24689,0.0,0.0,0.0,84.0
BTC-27JUN25-82000-P,put,82000.0,2025-06-27,0.0,0.0,0.0,52.78,54.55,-0.02418,0.0,-15.6971,18.24689,100.8,32.6,5684.72,21.6
BTC-27JUN25-84000-C,call,84000.0,2025-06-27,0.0,0.0,0.0,37.82,57.33,0.96939,0.0,-18.52371,22.21324,0.1,0.0,0.0,84.0
BTC-27JUN25-84000-P,put,84000.0,2025-06-27,0.0,0.0,0.0,51.26,52.72,-0.03061,0.0,-18.52371,22.21324,200.6,18.2,3583.96,
BTC-27JUN25-85000-C,call,85000.0,2025-06-27,0.0,0.0,0.0,43.17,55.55,0.96626,0.0,-19.65198,24.06951,1901.8,9.7,238979.0,84.0
BTC-27JUN25-85000-P,put,85000.0,2025-06-27,0.0,0.0,0.0,50.32,51.23,-0.03374,0.0,-19.65198,24.06951,5075.2,96.9,23406.88,
BTC-27JUN25-88000-C,call,88000.0,2025-06-27,0.0,0.0,0.0,42.52,54.45,0.94955,1e-05,-26.37107,33.34704,0.0,0.0,0.0,84.0
BTC-27JUN25-88000-C,call,88000.0,2025-06-27,0.0,0.0,0.0,42.52,54.45,0.94955,1e-05,-26.37107,33.34704,0.0,0.0,0.0,84.0
BTC-27JUN25-88000-P,put,88000.0,2025-06-27,0.0,0.0,0.0,48.76,49.74,-0.05045,1e-05,-26.37107,33.34704,1389.3,33.8,12806.44,24.2
BTC-27JUN25-90000-C,call,90000.0,2025-06-27,0.0,0.0,0.0,43.46,51.73,0.93464,1e-05,-31.66837,40.8794,2149.5,4.1,85269.83,
BTC-27JUN25-90000-P,put,90000.0,2025-06-27,0.0,0.0,0.0,47.7,48.51,-0.06536,1e-05,-31.66828,40.87929,1462.2,61.7,30694.09,
BTC-27JUN25-92000-C,call,92000.0,2025-06-27,0.0,0.0,0.0,44.23,50.82,0.91558,1e-05,-37.83023,49.70012,0.6,0.0,0.0,
BTC-27JUN25-92000-P,put,92000.0,2025-06-27,0.0,0.0,0.0,46.92,48.02,-0.08442,1e-05,-37.83023,49.70012,853.4,31.4,18211.53,
BTC-27JUN25-95000-C,call,95000.0,2025-06-27,0.0,0.0,0.0,43.54,47.84,0.87764,1e-05,-48.56784,65.10561,2053.9,11.3,179912.8,
BTC-27JUN25-95000-P,put,95000.0,2025-06-27,0.0,0.0,0.0,46.01,46.85,-0.12236,1e-05,-48.56662,65.10468,3814.1,1230.4,1234419.88,
BTC-27JUN25-97000-C,call,97000.0,2025-06-27,0.0,0.0,0.0,44.08,48.37,0.84533,2e-05,-56.48162,76.39015,285.3,0.0,0.0,
BTC-27JUN25-97000-P,put,97000.0,2025-06-27,0.0,0.0,0.0,45.17,46.61,-0.15467,2e-05,-56.48162,76.39015,1070.7,78.0,116773.09,
BTC-27JUN25-100000-C,call,100000.0,2025-06-27,0.0,0.0,0.0,44.07,47.59,0.78573,2e-05,-68.91296,93.61768,3551.3,57.8,693732.42,82.4
BTC-27JUN25-100000-P,put,100000.0,2025-06-27,0.0,0.0,0.0,45.26,45.85,-0.21427,2e-05,-68.91325,93.61773,2151.5,162.8,307008.03,44.5
BTC-27JUN25-102000-C,call,102000.0,2025-06-27,0.0,0.0,0.0,44.32,46.96,0.73989,2e-05,-76.65377,104.1544,1033.6,1.5,15156.35,
BTC-27JUN25-102000-P,put,102000.0,2025-06-27,0.0,0.0,0.0,45.21,46.27,-0.26011,2e-05,-76.65377,104.1544,1262.5,118.3,314563.81,68.0
BTC-27JUN25-105000-C,call,105000.0,2025-06-27,0.0,0.0,0.0,45.27,46.68,0.66469,2e-05,-86.06496,116.99815,3838.7,41.7,360749.72,
BTC-27JUN25-105000-P,put,105000.0,2025-06-27,0.0,0.0,0.0,45.37,45.84,-0.33529,2e-05,-86.0639,116.99631,1057.2,352.2,1208396.88,
BTC-27JUN25-108000-C,call,108000.0,2025-06-27,0.0,0.0,0.0,45.4,46.72,0.58438,3e-05,-92.60651,125.19808,71.2,16.2,107705.76,
BTC-27JUN25-108000-P,put,108000.0,2025-06-27,0.0,0.0,0.0,45.28,46.16,-0.41562,3e-05,-92.60651,125.19808,1760.9,314.8,1565970.99,
BTC-27JUN25-110000-C,call,110000.0,2025-06-27,0.0,0.0,0.0,45.98,46.41,0.53039,3e-05,-95.00732,127.70181,5142.4,230.3,1362018.87,
BTC-27JUN25-110000-P,put,110000.0,2025-06-27,0.0,0.0,0.0,45.73,46.59,-0.46961,3e-05,-95.00741,127.70191,548.5,68.3,398247.91,
BTC-27JUN25-112000-C,call,112000.0,2025-06-27,0.0,0.0,0.0,46.13,46.56,0.47732,3e-05,-95.52817,127.86666,361.8,119.0,602528.96,28.0
BTC-27JUN25-112000-P,put,112000.0,2025-06-27,0.0,0.0,0.0,45.74,46.6,-0.52268,3e-05,-95.52817,127.86666,59.5,2.8,19415.16,
BTC-27JUN25-115000-C,call,115000.0,2025-06-27,0.0,0.0,0.0,46.58,47.02,0.40162,3e-05,-93.57982,124.15914,3709.9,75.2,321739.13,65.8
BTC-27JUN25-115000-P,put,115000.0,2025-06-27,0.0,0.0,0.0,45.96,47.74,-0.59838,3e-05,-93.57982,124.15914,130.8,0.8,6666.36,
BTC-27JUN25-120000-C,call,120000.0,2025-06-27,0.0,0.0,0.0,46.92,47.92,0.29117,2e-05,-84.36906,110.09946,5354.0,132.0,361549.77,
BTC-27JUN25-120000-P,put,120000.0,2025-06-27,0.0,0.0,0.0,45.82,48.83,-0.70883,2e-05,-84.36906,110.09946,440.5,0.0,0.0,
BTC-27JUN25-125000-C,call,125000.0,2025-06-27,0.0,0.0,0.0,47.62,48.83,0.20412,2e-05,-70.98891,90.98191,3836.5,96.9,172351.34,
BTC-27JUN25-125000-P,put,125000.0,2025-06-27,0.0,0.0,0.0,45.77,51.79,-0.79588,2e-05,-70.98891,90.98191,17.0,0.0,0.0,
BTC-27JUN25-130000-C,call,130000.0,2025-06-27,0.0,0.0,0.0,48.36,49.91,0.13943,1e-05,-56.60064,71.25614,3753.3,119.5,141381.88,
BTC-27JUN25-130000-P,put,130000.0,2025-06-27,0.0,0.0,0.0,46.09,53.71,-0.86057,1e-05,-56.60064,71.25614,54.9,0.0,0.0,
BTC-27JUN25-135000-C,call,135000.0,2025-06-27,0.0,0.0,0.0,49.05,50.1,0.09385,1e-05,-43.53854,53.77843,3080.1,271.9,180252.91,
BTC-27JUN25-135000-P,put,135000.0,2025-06-27,0.0,0.0,0.0,44.94,54.38,-0.90615,1e-05,-43.53854,53.77843,6.3,0.0,0.0,
BTC-27JUN25-140000-C,call,140000.0,2025-06-27,0.0,0.0,0.0,50.82,51.66,0.06395,1e-05,-33.38435,40.19265,3370.1,289.0,125596.75,
BTC-27JUN25-140000-P,put,140000.0,2025-06-27,0.0,0.0,0.0,46.51,56.2,-0.93605,1e-05,-33.38435,40.19265,113.9,0.0,0.0,13.1
BTC-27JUN25-150000-C,call,150000.0,2025-06-27,0.0,0.0,0.0,53.38,55.36,0.03127,0.0,-19.89094,22.60861,1577.3,4.6,994.35,
BTC-27JUN25-150000-P,put,150000.0,2025-06-27,0.0,0.0,0.0,0.8,59.63,-0.96873,0.0,-19.89117,22.60903,16.4,0.0,0.0,
BTC-27JUN25-160000-C,call,160000.0,2025-06-27,0.0,0.0,0.0,57.42,59.77,0.01771,0.0,-13.22837,14.01911,1128.1,4.1,513.97,
BTC-27JUN25-160000-P,put,160000.0,2025-06-27,0.0,0.0,0.0,0.8,72.05,-0.98229,0.0,-13.22914,14.01979,139.0,0.0,0.0,13.1
BTC-27JUN25-170000-C,call,170000.0,2025-06-27,0.0,0.0,0.0,61.93,63.11,0.01114,0.0,-9.49537,9.40138,1306.3,5.3,463.11,
BTC-27JUN25-170000-P,put,170000.0,2025-06-27,0.0,0.0,0.0,0.8,86.69,-0.98886,0.0,-9.49183,9.39787,27.5,0.0,0.0,
BTC-27JUN25-180000-C,call,180000.0,2025-06-27,0.0,0.0,0.0,67.39,68.83,0.00847,0.0,-8.08825,7.40265,1891.4,21.0,1336.84,
BTC-27JUN25-180000-P,put,180000.0,2025-06-27,0.0,0.0,0.0,0.8,96.46,-0.99152,0.0,-8.09748,7.41113,20.1,0.0,0.0,
BTC-27JUN25-190000-C,call,190000.0,2025-06-27,0.0,0.0,0.0,71.91,76.61,0.00755,0.0,-7.94283,6.68433,381.6,13.6,775.26,
BTC-27JUN25-190000-P,put,190000.0,2025-06-27,0.0,0.0,0.0,0.8,98.01,-0.99245,0.0,-7.94283,6.68433,5.5,0.0,0.0,
BTC-27JUN25-200000-C,call,200000.0,2025-06-27,0.0,0.0,0.0,77.72,79.61,0.00566,0.0,-6.45959,5.18018,3912.9,5.2,231.55,11.9
BTC-27JUN25-200000-P,put,200000.0,2025-06-27,0.0,0.0,0.0,0.8,111.78,-0.99434,0.0,-6.45959,5.18018,0.3,0.0,0.0,
BTC-27JUN25-220000-C,call,220000.0,2025-06-27,0.0,0.0,0.0,82.56,88.33,0.00404,0.0,-5.29668,3.83938,2171.0,0.0,0.0,11.9
BTC-27JUN25-220000-P,put,220000.0,2025-06-27,0.0,0.0,0.0,0.8,121.56,-0.99596,0.0,-5.29668,3.83938,14.8,0.0,0.0,
BTC-27JUN25-240000-C,call,240000.0,2025-06-27,0.0,0.0,0.0,86.29,95.12,0.00368,0.0,-5.39535,3.53025,774.4,0.2,6.58,
BTC-27JUN25-240000-P,put,240000.0,2025-06-27,0.0,0.0,0.0,0.8,141.05,-0.99632,0.0,-5.39535,3.53025,35.3,0.0,0.0,
BTC-27JUN25-250000-C,call,250000.0,2025-06-27,0.0,0.0,0.0,95.79,99.43,0.00325,0.0,-4.99995,3.15934,1157.2,0.0,0.0,11.9
BTC-27JUN25-250000-P,put,250000.0,2025-06-27,0.0,0.0,0.0,0.8,150.94,-0.99675,0.0,-4.99995,3.15934,1.7,0.0,0.0,13.1
BTC-27JUN25-260000-C,call,260000.0,2025-06-27,0.0,0.0,0.0,99.79,103.55,0.00302,0.0,-4.84346,2.95152,617.9,0.0,0.0,11.9
BTC-27JUN25-260000-P,put,260000.0,2025-06-27,0.0,0.0,0.0,0.8,157.28,-0.99698,0.0,-4.84346,2.95152,0.0,0.0,0.0,
BTC-27JUN25-280000-C,call,280000.0,2025-06-27,0.0,0.0,0.0,107.28,111.25,0.00283,0.0,-4.92093,2.79049,1486.7,1.1,24.14,
BTC-27JUN25-280000-P,put,280000.0,2025-06-27,0.0,0.0,0.0,0.8,170.62,-0.99717,0.0,-4.92093,2.79049,0.5,0.0,0.0,
BTC-27JUN25-300000-C,call,300000.0,2025-06-27,0.0,0.0,0.0,114.18,118.35,0.00269,0.0,-4.98955,2.65936,5647.1,27.3,590.24,
BTC-27JUN25-300000-P,put,300000.0,2025-06-27,0.0,0.0,0.0,0.8,170.68,-0.99731,0.0,-4.98957,2.65937,1.7,0.0,0.0,13.1
BTC-27JUN25-400000-C,call,400000.0,2025-06-27,0.0,0.0,0.0,0.8,134.77,0.00102,0.0,-2.39228,1.10051,663.6,6.6,97.84,
BTC-27JUN25-400000-P,put,400000.0,2025-06-27,0.0,0.0,0.0,0.8,220.35,-0.99898,0.0,-2.39228,1.10051,0.1,0.0,0.0,
BTC-25JUL25-30000-C,call,30000.0,2025-07-25,0.0,0.0,0.0,0.8,142.45,0.99895,0.0,-1.51982,1.57047,11.4,0.0,0.0,
BTC-25JUL25-30000-P,put,30000.0,2025-07-25,0.0,0.0,0.0,109.92,122.17,-0.00105,0.0,-1.51982,1.57047,477.5,59.5,851.38,
BTC-25JUL25-40000-C,call,40000.0,2025-07-25,0.0,0.0,0.0,0.8,115.06,0.99752,0.0,-2.81961,3.43258,12.0,0.0,0.0,
BTC-25JUL25-40000-P,put,40000.0,2025-07-25,0.0,0.0,0.0,92.31,101.83,-0.00248,0.0,-2.81957,3.43251,80.3,0.5,21.93,
BTC-25JUL25-50000-C,call,50000.0,2025-07-25,0.0,0.0,0.0,0.8,97.44,0.99495,0.0,-4.52949,6.49885,12.0,0.0,0.0,84.1
BTC-25JUL25-50000-C,call,50000.0,2025-07-25,0.0,0.0,0.0,0.8,97.44,0.99495,0.0,-4.52949,6.49885,12.0,0.0,0.0,84.1
BTC-25JUL25-50000-P,put,50000.0,2025-07-25,0.0,0.0,0.0,80.74,82.52,-0.00505,0.0,-4.52949,6.49885,46.4,3.1,203.96,
BTC-25JUL25-60000-C,call,60000.0,2025-07-25,0.0,0.0,0.0,0.8,78.28,0.99019,0.0,-6.88843,11.6813,0.5,0.0,0.0,84.1
BTC-25JUL25-60000-P,put,60000.0,2025-07-25,0.0,0.0,0.0,68.45,70.37,-0.00981,0.0,-6.88843,11.6813,478.5,0.6,67.84,
BTC-25JUL25-70000-C,call,70000.0,2025-07-25,0.0,0.0,0.0,52.97,65.6,0.9787,0.0,-11.56402,22.76417,0.0,0.0,0.0,72.1
BTC-25JUL25-70000-C,call,70000.0,2025-07-25,0.0,0.0,0.0,52.97,65.6,0.9787,0.0,-11.56402,22.76417,0.0,0.0,0.0,72.1
BTC-25JUL25-70000-P,put,70000.0,2025-07-25,0.0,0.0,0.0,60.12,60.59,-0.0213,0.0,-11.56402,22.76417,195.5,7.5,1855.63,
BTC-25JUL25-75000-C,call,75000.0,2025-07-25,0.0,0.0,0.0,51.9,61.77,0.96736,0.0,-15.4778,32.52555,0.0,0.0,0.0,
BTC-25JUL25-75000-P,put,75000.0,2025-07-25,0.0,0.0,0.0,55.69,56.37,-0.03264,0.0,-15.4778,32.52555,364.6,4.1,1426.89,
BTC-25JUL25-80000-C,call,80000.0,2025-07-25,0.0,0.0,0.0,49.67,56.76,0.94789,0.0,-21.52487,47.50879,96.3,0.0,0.0,76.0
BTC-25JUL25-80000-P,put,80000.0,2025-07-25,0.0,0.0,0.0,52.71,54.34,-0.05211,0.0,-21.52487,47.50879,638.5,47.6,27406.93,21.8
